"","Report_Year","NeighbourhoodName","Premises_Type"
"256",2014,"Regent Park","Outside"
"257",2014,"Markland Wood","House"
"258",2014,"Lawrence Park South","House"
"259",2014,"Cabbagetown-South St.James Town","House"
"260",2014,"Agincourt North","House"
"261",2014,"Corso Italia-Davenport","Outside"
"262",2014,"Bay Street Corridor","Apartment"
"263",2014,"Danforth","Commercial"
"264",2014,"Bay Street Corridor","Outside"
"265",2014,"Bay Street Corridor","Outside"
"266",2014,"Oakridge","Outside"
"267",2014,"Bay Street Corridor","Apartment"
"268",2014,"Kensington-Chinatown","Outside"
"269",2014,"Bay Street Corridor","Outside"
"270",2014,"Yonge-St.Clair","Outside"
"271",2014,"Bay Street Corridor","Outside"
"272",2014,"Waterfront Communities-The Island","Apartment"
"273",2014,"Trinity-Bellwoods","Commercial"
"274",2014,"Bay Street Corridor","Other"
"275",2014,"Little Portugal","Apartment"
"276",2014,"Kensington-Chinatown","Outside"
"277",2014,"Rockcliffe-Smythe","Other"
"278",2014,"South Parkdale","Outside"
"279",2014,"Rockcliffe-Smythe","Other"
"280",2014,"Kensington-Chinatown","Other"
"281",2014,"Bay Street Corridor","Outside"
"282",2014,"Regent Park","Apartment"
"283",2014,"West Hill","House"
"284",2014,"North Riverdale","Outside"
"285",2014,"Moss Park","Outside"
"286",2014,"Mount Pleasant West","Outside"
"287",2014,"Markland Wood","House"
"288",2014,"Bay Street Corridor","Outside"
"289",2014,"Rouge","House"
"290",2014,"Rosedale-Moore Park","Outside"
"291",2014,"Bay Street Corridor","Apartment"
"292",2014,"New Toronto","Outside"
"293",2014,"Bay Street Corridor","Apartment"
"294",2014,"Newtonbrook West","Apartment"
"295",2014,"Church-Yonge Corridor","Outside"
"296",2014,"Annex","Apartment"
"297",2014,"The Beaches","Apartment"
"298",2014,"Annex","Commercial"
"299",2014,"Stonegate-Queensway","House"
"300",2014,"North Riverdale","Outside"
"301",2014,"Bay Street Corridor","Outside"
"302",2014,"Newtonbrook West","Commercial"
"303",2014,"Oakridge","Outside"
"304",2014,"Niagara","Outside"
"305",2017,"Little Portugal","Commercial"
"306",2014,"South Parkdale","Apartment"
"307",2014,"Palmerston-Little Italy","House"
"308",2014,"Waterfront Communities-The Island","Commercial"
"309",2014,"Bedford Park-Nortown","Outside"
"310",2014,"Lawrence Park North","Commercial"
"311",2014,"Church-Yonge Corridor","Apartment"
"312",2014,"Church-Yonge Corridor","Apartment"
"313",2014,"Church-Yonge Corridor","Outside"
"314",2014,"Waterfront Communities-The Island","Apartment"
"315",2014,"Englemount-Lawrence","House"
"316",2014,"Leaside-Bennington","House"
"317",2014,"Church-Yonge Corridor","Apartment"
"318",2014,"Waterfront Communities-The Island","Outside"
"319",2014,"South Riverdale","Apartment"
"320",2014,"South Riverdale","Other"
"321",2014,"Humewood-Cedarvale","Other"
"322",2014,"Church-Yonge Corridor","Commercial"
"323",2014,"Moss Park","Apartment"
"324",2014,"Waterfront Communities-The Island","Outside"
"325",2014,"Kensington-Chinatown","Outside"
"326",2014,"Annex","House"
"327",2014,"Broadview North","Apartment"
"328",2014,"Waterfront Communities-The Island","Commercial"
"329",2014,"Willowdale East","Apartment"
"330",2014,"Little Portugal","Other"
"331",2014,"New Toronto","Educational"
"332",2014,"Bay Street Corridor","Commercial"
"333",2014,"Moss Park","Outside"
"334",2014,"Waterfront Communities-The Island","Apartment"
"335",2014,"Wexford/Maryvale","House"
"336",2014,"Little Portugal","House"
"337",2014,"Dovercourt-Wallace Emerson-Junction","Other"
"338",2014,"Kensington-Chinatown","Outside"
"339",2014,"Trinity-Bellwoods","House"
"340",2014,"Willowdale East","House"
"341",2014,"Humewood-Cedarvale","House"
"342",2014,"Waterfront Communities-The Island","Commercial"
"343",2014,"Cabbagetown-South St.James Town","Outside"
"344",2014,"Mount Pleasant West","Outside"
"345",2014,"Junction Area","Commercial"
"346",2014,"Yorkdale-Glen Park","Transit"
"347",2014,"Moss Park","Outside"
"348",2014,"Broadview North","Apartment"
"349",2014,"Dovercourt-Wallace Emerson-Junction","House"
"350",2014,"Bedford Park-Nortown","Other"
"351",2014,"South Parkdale","Apartment"
"352",2014,"Rockcliffe-Smythe","Other"
"353",2014,"Cabbagetown-South St.James Town","Outside"
"354",2014,"Moss Park","Outside"
"355",2014,"Bay Street Corridor","Commercial"
"356",2014,"Playter Estates-Danforth","Commercial"
"357",2014,"Bay Street Corridor","Apartment"
"358",2014,"Corso Italia-Davenport","Outside"
"359",2014,"Thorncliffe Park","Commercial"
"360",2014,"Kensington-Chinatown","Outside"
"361",2014,"Cabbagetown-South St.James Town","House"
"362",2014,"Bay Street Corridor","Outside"
"363",2014,"South Riverdale","Other"
"364",2014,"Woodbine Corridor","Outside"
"365",2014,"Dorset Park","Commercial"
"366",2014,"Trinity-Bellwoods","House"
"367",2014,"Thorncliffe Park","Commercial"
"368",2014,"Briar Hill-Belgravia","House"
"369",2014,"Mount Olive-Silverstone-Jamestown","House"
"370",2014,"Rockcliffe-Smythe","Apartment"
"371",2014,"High Park North","Outside"
"372",2014,"Church-Yonge Corridor","Outside"
"373",2014,"Kensington-Chinatown","Apartment"
"374",2014,"Regent Park","Other"
"375",2014,"Church-Yonge Corridor","Outside"
